onset	duration	trial_type	value	sample
14.384	0.0	start_trial	418	3596
17.392	0.0	go_cue_MI	421	4348
22.612	0.0	end_feedback	424	5653
29.396	0.0	start_trial	418	7349
32.388	0.0	go_cue_MI	421	8097
37.532	0.0	end_feedback	424	9383
44.404	0.0	start_trial	418	11101
45.4	0.0	go_cue_rest	422	11350
50.78	0.0	end_feedback	424	12695
59.404	0.0	start_trial	418	14851
62.416	0.0	go_cue_MI	421	15604
67.364	0.0	end_feedback	424	16841
74.42	0.0	start_trial	418	18605
77.424	0.0	go_cue_MI	421	19356
82.784	0.0	end_feedback	424	20696
89.428	0.0	start_trial	418	22357
92.424	0.0	go_cue_MI	421	23106
97.176	0.0	end_feedback	424	24294
104.444	0.0	start_trial	418	26111
107.44	0.0	go_cue_MI	421	26860
112.508	0.0	end_feedback	424	28127
119.448	0.0	start_trial	418	29862
120.448	0.0	go_cue_rest	422	30112
126.552	0.0	end_feedback	424	31638
134.46	0.0	start_trial	418	33615
137.464	0.0	go_cue_MI	421	34366
142.936	0.0	end_feedback	424	35734
149.464	0.0	start_trial	418	37366
150.476	0.0	go_cue_rest	422	37619
156.484	0.0	end_feedback	424	39121
164.48	0.0	start_trial	418	41120
165.476	0.0	go_cue_rest	422	41369
171.376	0.0	end_feedback	424	42844
179.492	0.0	start_trial	418	44873
180.488	0.0	go_cue_rest	422	45122
187.264	0.0	end_feedback	424	46816
194.5	0.0	start_trial	418	48625
197.496	0.0	go_cue_MI	421	49374
202.536	0.0	end_feedback	424	50634
209.504	0.0	start_trial	418	52376
212.508	0.0	go_cue_MI	421	53127
217.568	0.0	end_feedback	424	54392
224.516	0.0	start_trial	418	56129
225.516	0.0	go_cue_rest	422	56379
231.452	0.0	end_feedback	424	57863
239.536	0.0	start_trial	418	59884
242.528	0.0	go_cue_MI	421	60632
247.572	0.0	end_feedback	424	61893
254.54	0.0	start_trial	418	63635
255.548	0.0	go_cue_rest	422	63887
261.612	0.0	end_feedback	424	65403
269.556	0.0	start_trial	418	67389
270.552	0.0	go_cue_rest	422	67638
275.788	0.0	end_feedback	424	68947
284.556	0.0	start_trial	418	71139
285.552	0.0	go_cue_rest	422	71388
292.632	0.0	end_feedback	424	73158
299.56	0.0	start_trial	418	74890
300.56	0.0	go_cue_rest	422	75140
306.792	0.0	end_feedback	424	76698
