onset	duration	trial_type	value	sample
9.456	0.0	start_trial	417	1182
11.464	0.0	go_cue_rest	421	1433
16.464	0.0	start_trial	417	2058
18.472	0.0	go_cue_rest	421	2309
23.472	0.0	start_trial	417	2934
25.48	0.0	go_cue_rest	421	3185
30.488	0.0	start_trial	417	3811
32.488	0.0	go_cue_rest	421	4061
37.496	0.0	start_trial	417	4687
39.504	0.0	go_cue_rest	421	4938
44.504	0.0	start_trial	417	5563
46.512	0.0	go_cue_MI	420	5814
51.52	0.0	start_trial	417	6440
53.52	0.0	go_cue_MI	420	6690
58.528	0.0	start_trial	417	7316
60.528	0.0	go_cue_MI	420	7566
65.536	0.0	start_trial	417	8192
67.544	0.0	go_cue_MI	420	8443
72.544	0.0	start_trial	417	9068
74.552	0.0	go_cue_MI	420	9319
79.56	0.0	start_trial	417	9945
81.552	0.0	go_cue_MI	420	10194
86.56	0.0	start_trial	417	10820
88.56	0.0	go_cue_MI	420	11070
93.568	0.0	start_trial	417	11696
95.576	0.0	go_cue_MI	420	11947
100.584	0.0	start_trial	417	12573
102.584	0.0	go_cue_rest	421	12823
107.592	0.0	start_trial	417	13449
109.592	0.0	go_cue_rest	421	13699
114.6	0.0	start_trial	417	14325
116.608	0.0	go_cue_rest	421	14576
121.608	0.0	start_trial	417	15201
123.616	0.0	go_cue_rest	421	15452
128.616	0.0	start_trial	417	16077
130.624	0.0	go_cue_rest	421	16328
135.632	0.0	start_trial	417	16954
137.632	0.0	go_cue_MI	420	17204
142.64	0.0	start_trial	417	17830
144.648	0.0	go_cue_MI	420	18081
